ctrl,variable,block_path,pin,direction,note
H11,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INJ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10
H11,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INK,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11
H11,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INL,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12
H11,HpOTHeatExOutFarSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INM,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_23.IN -> OR_23 -> VOTE_1.IN13
H11,HpOTHeatExOutNearSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INN,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_24.IN -> OR_24 -> VOTE_1.IN14
H11,HpOTHeatExOutFarSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INO,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_25.IN -> OR_25 -> VOTE_1.IN15
H11,HpOTHeatExOutNearSideTemp8,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INP,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_26.IN -> OR_26 -> VOTE_1.IN16
H11,HpOTHeatExOutFarSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INQ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_27.IN -> OR_27 -> VOTE_1.IN17
H11,HpOTHeatExOutNearSideTemp9,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INR,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_28.IN -> OR_28 -> VOTE_1.IN18
H11,HpOTHeatExOutFarSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INS,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_29.IN -> OR_29 -> VOTE_1.IN19
H11,HpOTHeatExOutNearSideTemp10,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,INT,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_30.IN -> OR_30 -> VOTE_1.IN20
H11,PRO_HpOTHeatExOutTempHi,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_2,OUT,O,inferred: the only other voter in the task and the variable has no other writer; VOTE_1.OUT -> OUT
H12,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INA,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1"
H12,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INB,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2"
